NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Madison County,Mississippi,42182,2.54,92.6,49.5,5,89.7,4.2,6.4,24,79105,46538,9.8,46174,1.4,5,7.1,3.3,2.3,72.5,264700,109257,51.8,6.1,24.4,14.5,56.5,37.6,0,2.7,0,2,2,0.5,3335,51107,12675,1856.666667,112.8333333,0,127.3333333,0,0,297.5,1798882,296116,148.7316531
Marion County,Mississippi,9102,2.59,82.8,11.3,6.6,92.7,0.7,2.4,38.6,38399,23055,22.8,11164,0.6,1.7,0.2,0.5,1.6,79.4,104100,24362,51.6,5.9,23.3,18.5,64,32.6,0.1,0.1,0,1.9,2.6,1,576,7732,2072,406,0,0,0,0,0,66,268243,28582,45.30549049
Marshall County,Mississippi,12797,2.49,82.8,14,5,90.3,2,5,28.3,51431,27680,19.5,15156,0.8,1,1.2,0.5,1.2,77.4,150400,33980,50.4,6,20.6,18.3,47.7,45.6,0.5,0.1,0,3.1,4.2,0.3,489,7464,3423,2000.777778,134.3333333,0,207.1111111,0,40,360.6666667,214862,0,49.97839112
Monroe County,Mississippi,13410,2.51,84.9,16.1,7.1,91.2,0.9,1.4,24.1,51190,27619,16.7,16739,4.2,2.5,2.2,0.1,0.1,75.6,109500,34168,51.7,5.7,22.6,19.6,67.7,30.2,0,0.3,0,1.7,0.4,0.4,603,7846,2112,459,0,0,0,0,0,59,254738,0,46.07571138
Montgomery County,Mississippi,3830,2.52,75.6,16.9,5.4,89.7,0.5,1.1,28.8,36845,24126,24.2,5281,3.1,1.5,1,1.4,2.8,66.6,97100,9803,52.3,4,22.7,22.1,52.2,46,0,0,0,1.3,0.5,0.4,193,1869,710,184,0,0,0,0,0,0,123705,0,24.01834486
Neshoba County,Mississippi,10199,2.79,82.3,15.3,6.2,89.2,0.7,10,25,47400,23538,28,12081,1.9,0.7,3,1.1,0.3,72,94300,28970,52.5,7.2,27.6,16.5,57.8,22.8,16,0.6,0.1,2,0.9,0,500,10432,1836,454,0,0,0,0,0,65,280968,398295,51.07217272
Newton County,Mississippi,7706,2.66,85.7,16.2,7.9,93.2,1.2,5.6,27.8,49160,28364,23.5,9113,1.5,3.2,1.3,0.1,0.3,79.6,100800,21275,51.5,6.4,24,17.3,59.4,31.4,3.3,0.5,0,2.2,4.5,0.1,329,3915,1398,299,0,0,0,0,0,0,142404,15480,36.37246506
Noxubee County,Mississippi,3696,2.72,81.1,13.4,4.8,92.8,0.8,1.3,28.3,42298,19804,23.2,4745,1.7,2.2,2.5,0,1.9,74.6,85000,10261,54,7.4,24.8,17.1,25.7,73.6,0.4,0,0,0.2,0.2,0.1,199,1703,1195,210,0,0,0,0,0,0,61593,0,14.98507382
Oktibbeha County,Mississippi,21165,2.18,90.9,44.4,4.9,73.8,4,4.3,18.9,42953,28221,28.5,25185,6.3,9.1,8.7,7.6,5.9,47.5,211200,51388,50,4.9,17.4,11.7,56.5,36.7,0.1,3.1,0.1,3.1,1.4,0.9,955,12300,3721,838,0,0,51,0,0,0,529412,140726,108.2120171
Panola County,Mississippi,12392,2.65,81.9,16,5.1,93.1,0.7,0.8,26.2,47894,25822,20.4,14647,1,4.3,1.3,0.1,0.9,70.9,115800,33157,51.8,6.8,24.6,16.8,47.2,49.7,0.1,0.3,0.4,2.1,0.3,0.2,603,8293,2975,464,0,0,0,0,0,67,408927,47569,49.90257339
